Status,MVP Scope,Category,Method,Path,operationId,Candidate,Recruiter,Permission,Request,Success,Main Errors,Summary
DRAFT,MVP,Applications,POST,/recruiter/applications/{applicationId}/transitions,transitionRecruiterApplication,NO,YES,Recruiter; own-company application; cannot set WITHDRAWN; cross-company resources return 404,params: applicationId; body: ApplicationTransitionRequest,201,"401, 404, 403, 409, 422",Transition application status
DRAFT,MVP,Applications,PUT,/recruiter/applications/{applicationId}/owner,assignRecruiterApplicationOwner,NO,YES,Recruiter; own-company owner assignment; cross-company resources return 404,params: applicationId; body: ApplicationOwnerRequest,200,"401, 404, 403, 409, 422",Assign application owner
DRAFT,MVP,Applications,GET,/recruiter/applications/{applicationId}/notes,listRecruiterApplicationNotes,NO,YES,Recruiter; own-company; private notes; cross-company resources return 404,params: applicationId/Page/PageSize,200,"401, 404, 403",List recruiter-only notes
DRAFT,MVP,Applications,POST,/recruiter/applications/{applicationId}/notes,createRecruiterApplicationNote,NO,YES,Recruiter; own-company; private notes; cross-company resources return 404,params: applicationId; body: CreateNoteRequest,201,"401, 404, 403, 409, 422",Create recruiter-only note
DRAFT,MVP,Applications,POST,/candidate/applications/{applicationId}/withdraw,withdrawCandidateApplication,YES,NO,Candidate application owner only,params: applicationId; body: WithdrawApplicationRequest,200,"401, 403, 404, 409, 422",Withdraw the current candidate's application
IMPLEMENTED,MVP,Interviews,POST,/recruiter/applications/{applicationId}/interviews,createRecruiterInterview,NO,YES,Recruiter; own-company application; cross-company resources return 404,params: applicationId; body: CreateInterviewRequest,201,"401, 404, 403, 409, 422",Schedule interview, transition application, and append a SYSTEM message to the conversation
IMPLEMENTED,MVP,Interviews,PATCH,/recruiter/interviews/{interviewId},updateRecruiterInterview,NO,YES,Recruiter; own-company interview; cross-company resources return 404,params: interviewId; body: UpdateInterviewRequest,200,"401, 404, 403, 409, 422",Update interview
IMPLEMENTED,MVP,Conversations,GET,/candidate/conversations,listConversations,YES,NO,Candidate conversation participant only,params: Page/PageSize,200,"401, 403",List conversations
IMPLEMENTED,MVP,Conversations,GET,/candidate/conversations/{conversationId},getConversation,YES,NO,Candidate conversation participant only,params: ConversationId,200,"404, 401, 403",Get conversation participant and business context
IMPLEMENTED,MVP,Conversations,PUT,/candidate/conversations/{conversationId}/read-state,updateConversationReadState,YES,NO,Candidate conversation participant only,params: ConversationId; body: ReadStateRequest,204,"404, 401, 403, 409, 422",Set the last read message
IMPLEMENTED,MVP,Conversations,GET,/recruiter/conversations,listRecruiterConversations,NO,YES,Recruiter participant; own-company conversations; applicationId restricts to one own-company application,params: q/unreadOnly/applicationId/Page/PageSize,200,"401, 404, 403, 422",List own-company conversations; optional applicationId exact lookup
IMPLEMENTED,MVP,Conversations,GET,/recruiter/conversations/{conversationId},getRecruiterConversation,NO,YES,Recruiter participant; own-company conversation; cross-company resources return 404,params: conversationId,200,"401, 404, 403",Get recruiter conversation
IMPLEMENTED,MVP,Conversations,PUT,/recruiter/conversations/{conversationId}/read-state,updateRecruiterConversationReadState,NO,YES,Recruiter participant; own-company conversation; cross-company resources return 404,params: conversationId; body: ReadStateRequest,204,"401, 403, 409, 422, 404",Update recruiter read state
IMPLEMENTED,MVP,Messages,GET,/candidate/conversations/{conversationId}/messages,listMessages,YES,NO,Candidate conversation participant only,params: ConversationId/before/limit,200,"404, 401, 403",Get message history
IMPLEMENTED,MVP,Messages,POST,/candidate/conversations/{conversationId}/messages,sendMessage,YES,NO,Candidate conversation participant only,params: ConversationId/IdempotencyKey; body: SendMessageRequest,201,"404, 422, 401, 403, 409",Send a message
IMPLEMENTED,MVP,Messages,POST,/candidate/conversations/{conversationId}/messages/attachment,sendCandidateMessageWithAttachment,YES,NO,Candidate conversation participant only,params: ConversationId/IdempotencyKey; multipart: clientMessageId/body/file,201,"404, 413, 422, 401, 403, 409",Send a message with an attachment
IMPLEMENTED,MVP,Messages,GET,/candidate/conversations/{conversationId}/messages/{messageId}/attachment,downloadCandidateMessageAttachment,YES,NO,Candidate conversation participant only,params: ConversationId/messageId,200,"404, 401, 403",Download a message attachment
IMPLEMENTED,MVP,Messages,GET,/recruiter/conversations/{conversationId}/messages,listRecruiterMessages,NO,YES,Recruiter participant; own-company conversation; cross-company resources return 404,params: conversationId/before/limit,200,"401, 404, 403",Get recruiter message history
IMPLEMENTED,MVP,Messages,POST,/recruiter/conversations/{conversationId}/messages,sendRecruiterMessage,NO,YES,Recruiter participant; own-company conversation; cross-company resources return 404,params: conversationId/IdempotencyKey; body: SendMessageRequest,201,"401, 404, 403, 409, 422",Send recruiter message
IMPLEMENTED,MVP,Messages,POST,/recruiter/conversations/{conversationId}/messages/attachment,sendRecruiterMessageWithAttachment,NO,YES,Recruiter participant; own-company conversation; cross-company resources return 404,params: conversationId/IdempotencyKey; multipart: clientMessageId/body/file,201,"401, 404, 403, 409, 413, 422",Send a recruiter message with an attachment
IMPLEMENTED,MVP,Messages,GET,/recruiter/conversations/{conversationId}/messages/{messageId}/attachment,downloadRecruiterMessageAttachment,NO,YES,Recruiter participant; own-company conversation; cross-company resources return 404,params: conversationId/messageId,200,"401, 404, 403",Download a recruiter message attachment
DRAFT,MVP,Resume,GET,/candidate/resume,getResume,YES,NO,Candidate self only,—,200,"404, 401, 403",Get the candidate's online resume
DRAFT,MVP,Resume,PUT,/candidate/resume,saveResume,YES,NO,Candidate self only,body: SaveResumeRequest,200,"422, 401, 403, 409",Replace the candidate's online resume
DRAFT,MVP,Resume,GET,/recruiter/applications/{applicationId}/resume-snapshot,getRecruiterResumeSnapshot,NO,YES,Recruiter; own-company application; cross-company resources return 404,params: applicationId,200,"401, 404, 403",Get immutable resume snapshot
DRAFT,P1_DEFERRED,Resume,GET,/recruiter/applications/{applicationId}/resume-snapshot/pdf,getRecruiterResumeSnapshotPdf,NO,YES,Recruiter; own-company application; cross-company resources return 404,params: applicationId,"200, 302","401, 404, 403",Get short-lived resume PDF URL
DRAFT,MVP,Features,GET,/features/learning,getLearningFeature,YES,NO,Candidate role,—,200,"401, 403",Get Learning feature availability
DRAFT,MVP,Admin,GET,/admin/overview,getAdminOverview,NO,NO,Admin role,—,200,"401, 403",Get admin overview counts and recent safe actions
DRAFT,MVP,Admin,GET,/admin/reviews,listAdminReviews,NO,NO,Admin role,params: type/page/pageSize/q/status,200,"401, 403",List admin review items by type
DRAFT,MVP,Admin,GET,/admin/companies/{companyId},getAdminCompany,NO,NO,Admin role,params: companyId,200,"401, 403, 404",Get admin company review detail
DRAFT,MVP,Admin,GET,/admin/jobs/{jobId},getAdminJob,NO,NO,Admin role,params: jobId,200,"401, 403, 404",Get admin job review detail
DRAFT,MVP,Admin,GET,/admin/users/{userId},getAdminUser,NO,NO,Admin role,params: userId,200,"401, 403, 404",Get admin user review detail
DRAFT,MVP,Admin,POST,/admin/companies/{companyId}/approve,approveAdminCompany,NO,NO,Admin role,params: companyId; body: AdminActionRequest,200,"401, 403, 404, 409, 422",Approve a pending company and write admin audit
DRAFT,MVP,Admin,POST,/admin/companies/{companyId}/reject,rejectAdminCompany,NO,NO,Admin role,params: companyId; body: AdminActionRequest,200,"401, 403, 404, 409, 422",Reject a pending company and write admin audit
DRAFT,MVP,Admin,POST,/admin/jobs/{jobId}/remove,removeAdminJob,NO,NO,Admin role,params: jobId; body: AdminActionRequest,200,"401, 403, 404, 409, 422",Remove a non-CLOSED job and write admin audit
DRAFT,MVP,Admin,POST,/admin/users/{userId}/disable,disableAdminUser,NO,NO,Admin role,params: userId; body: AdminActionRequest,200,"401, 403, 404, 409, 422",Disable an ACTIVE user and write admin audit
DRAFT,P2_DEMO,Community,GET,/community/posts,listCommunityPosts,YES,YES,Authenticated Candidate or Recruiter only,params: Page/CommunityPageSize,200,"401, 403, 404, 422",List the authenticated Community Feed
DRAFT,P2_DEMO,Community,POST,/community/posts,createCommunityPost,YES,YES,Authenticated Candidate or Recruiter only,body: CreateCommunityPostRequest,201,"401, 403, 404, 422",Create a text-only Community Post
DRAFT,P2_DEMO,Community,GET,/community/posts/{postId},getCommunityPost,YES,YES,Authenticated Candidate or Recruiter only,params: CommunityPostId,200,"401, 403, 404, 422",Get Community Post detail without embedded comments
DRAFT,P2_DEMO,Community,PUT,/community/posts/{postId}/like,likeCommunityPost,YES,YES,Authenticated Candidate or Recruiter only,params: CommunityPostId,200,"401, 403, 404, 422",Idempotently Like a Community Post
DRAFT,P2_DEMO,Community,DELETE,/community/posts/{postId}/like,unlikeCommunityPost,YES,YES,Authenticated Candidate or Recruiter only,params: CommunityPostId,200,"401, 403, 404, 422",Idempotently remove the current user's Like
DRAFT,P2_DEMO,Community,GET,/community/posts/{postId}/comments,listCommunityComments,YES,YES,Authenticated Candidate or Recruiter only,params: CommunityPostId/Page/CommunityPageSize,200,"401, 403, 404, 422",List Community comments in chronological order
DRAFT,P2_DEMO,Community,POST,/community/posts/{postId}/comments,createCommunityComment,YES,YES,Authenticated Candidate or Recruiter only,params: CommunityPostId; body: CreateCommunityCommentRequest,201,"401, 403, 404, 422",Create a text-only Community comment and return the latest comment count
IMPLEMENTED,MVP,Agent,POST,/agent/runs,createAgentRun,YES,YES,Candidate or Recruiter dispatched by role; creation does not write,body: CreateAgentRunRequest (instruction; optional conversationId/jobId/timezone),201,"400, 401, 403, 422",Create an Agent run and prepare a resume change or interview preview
IMPLEMENTED,MVP,Agent,GET,/agent/runs/{runId},getAgentRun,YES,YES,Run owner only; another user's run returns 403,params: runId,200,"401, 403, 404",Get an owned Agent run
IMPLEMENTED,MVP,Agent,POST,/agent/runs/{runId}/cancel,cancelAgentRun,YES,YES,Run owner only; another user's run returns 403; no business write,params: runId,200,"401, 403, 404, 409",Cancel an Agent run
IMPLEMENTED,MVP,Agent,POST,/agent/runs/{runId}/confirm,confirmAgentRun,YES,YES,Run owner only; another user's run returns 403; valid confirmation/version/idempotency required,params: runId/Idempotency-Key; body: ConfirmAgentRunRequest,200,"401, 403, 404, 409, 422",Confirm and execute an Agent preview (resume patch or ONLINE interview change)
IMPLEMENTED,MVP,Agent,GET,/agent/conversations,listAgentConversations,YES,YES,Current user self only; conversations scoped per role,—,200,"401, 403",List owned Agent conversations
IMPLEMENTED,MVP,Agent,GET,/agent/conversations/recent,getRecentAgentConversation,YES,YES,Current user self only; conversations scoped per role,—,200,"401, 403",Restore the current user's most recent Agent conversation
IMPLEMENTED,MVP,Agent,GET,/agent/conversations/{conversationId},getAgentConversation,YES,YES,Conversation owner only; another user's conversation returns 404,params: conversationId,200,"401, 403, 404",Get an owned persistent Agent conversation
IMPLEMENTED,MVP,Agent,DELETE,/agent/conversations/{conversationId},deleteAgentConversation,YES,YES,Conversation owner only; another user's conversation returns 404,params: conversationId,204,"401, 403, 404",Delete an owned persistent Agent conversation
